table,lev,time,kuski
13,19,"40,03",Champi0N
13,20,"1:06,93",Joni
13,21,"15,15",elg
13,22,"42,86",TuA
13,23,"47,95","3 Litre"
13,24,"1:00,02",Jokke
13,25,"25,11","AnTTiM [HfK]"
13,26,"27,65",Champi0N
13,27,"38,00",Champi0N
13,28,"54,84",Petri
13,29,"49,82",zeth
13,30,"34,25",KingKong
13,31,"1:28,81",KingKong
13,32,"43,97",Hotwax
13,33,"1:35,84",zeth
13,34,"38,21",spliff
13,35,"2:38,45",loX
13,36,"1:03,40",Jokke
13,37,"1:00,70",Ntc
13,38,"33,79",KingKong
13,39,"44,90",KingKong
13,40,"1:30,19",loX
13,41,"40,88",KingKong
13,42,"51,45",Jokke
13,43,"1:02,56",KingKong
13,44,"33,65",Tier
13,45,"33,77",Hotwax
13,46,"1:10,11",zeth
13,47,"26,97",Rainman
13,48,"54,77",Joni
13,49,"43,30",KingKong
13,50,"1:01,13",loX
13,51,"56,53",Fulgore
13,52,"26,80",zyntifox
13,53,"18,17",oizo!
13,54,"1:55,98",Champi0N
14,1,"14,33",BoFaIQ
14,2,"16,87",mr
14,3,"20,01",DeG
14,4,"31,68",Champi0N
14,5,"22,12",Gazoline
14,6,"33,24",DMC
14,7,"35,56",Champi0N
14,8,"22,55",SoGe
14,9,"1:04,52",Dr_Luni
14,10,"13,66",mr
14,11,"26,52",Joni
14,12,"22,84",Gazoline
14,13,"17,64",TuA
14,14,"18,35",DeG
14,15,"1:07,49",zeth
14,16,"1:34,20",Champi0N
14,17,"58,80",umiz
14,18,"46,79",ZanguiZ
14,19,"39,82",Champi0N
14,20,"1:06,93",Joni
14,21,"15,15",elg
14,22,"42,86",TuA
14,23,"47,95","3 Litre"
14,24,"1:00,02",Jokke
14,25,"25,11","AnTTiM [HfK]"
14,26,"27,65",Champi0N
14,27,"38,00",Champi0N
14,28,"54,84",Petri
14,29,"49,82",zeth
14,30,"34,25",KingKong
14,31,"1:28,81",KingKong
14,32,"43,97",Hotwax
14,33,"1:35,84",zeth
14,34,"38,21",spliff
14,35,"2:38,45",loX
14,36,"1:03,40",Jokke
14,37,"1:00,70",Ntc
14,38,"33,79",KingKong
14,39,"44,90",KingKong
14,40,"1:30,19",loX
14,41,"40,88",KingKong
14,42,"51,45",Jokke
14,43,"1:02,41",Fild0
14,44,"33,65",Tier
14,45,"33,75",Jeppe
14,46,"1:10,11",zeth
14,47,"26,97",Rainman
14,48,"54,77",Joni
14,49,"43,30",KingKong
14,50,"1:01,13",loX
14,51,"56,53",Fulgore
14,52,"26,80",zyntifox
14,53,"18,17",oizo!
14,54,"1:55,98",Champi0N
15,1,"14,33",BoFaIQ
15,2,"16,86",zyntifox
15,3,"20,01",DeG
15,4,"31,68",Champi0N
15,5,"22,12",Gazoline
15,6,"33,24",DMC
15,7,"35,56",Champi0N
15,8,"22,55",SoGe
15,9,"1:04,52",Dr_Luni
15,10,"13,66",mr
15,11,"26,52",Joni
15,12,"22,84",Gazoline
15,13,"17,64",TuA
15,14,"18,35",DeG
15,15,"1:07,49",zeth
15,16,"1:34,20",Champi0N
15,17,"58,80",umiz
15,18,"46,79",ZanguiZ
15,19,"39,82",Champi0N
15,20,"1:06,93",Joni
15,21,"15,15",elg
15,22,"42,22",TuA
15,23,"47,95","3 Litre"
15,24,"1:00,02",Jokke
15,25,"25,11","AnTTiM [HfK]"
15,26,"27,65",Champi0N
15,27,"38,00",Champi0N
15,28,"54,21",Petri
15,29,"49,82",zeth
15,30,"34,25",KingKong
15,31,"1:27,08",elg
15,32,"43,95",KingKong
15,33,"1:35,84",zeth
15,34,"38,21",spliff
15,35,"2:38,45",loX
15,36,"1:03,40",Jokke
15,37,"1:00,70",Ntc
15,38,"33,76",TuA
15,39,"44,90",KingKong
15,40,"1:30,19",loX
15,41,"40,88",KingKong
15,42,"51,45",Jokke
15,43,"1:01,57",Karlis
15,44,"33,65",Tier
15,45,"33,65",Jeppe
15,46,"1:10,11",zeth
15,47,"26,38",mr
15,48,"54,77",Joni
15,49,"43,30",KingKong
15,50,"1:01,13",loX
15,51,"56,53",Fulgore
15,52,"26,80",zyntifox
15,53,"18,17",oizo!
15,54,"1:55,98",Champi0N
16,1,"14,33",BoFaIQ
16,2,"16,85",zyntifox
16,3,"20,01",DeG
16,4,"31,68",Champi0N
16,5,"22,07",oizo!
16,6,"33,24",DMC
16,7,"35,56",Champi0N
16,8,"22,55",SoGe
16,9,"1:04,52",Dr_Luni
16,10,"13,66",mr
16,11,"26,52",Joni
16,12,"22,84",Gazoline
16,13,"17,64",TuA
16,14,"18,35",DeG
16,15,"1:07,49",zeth
16,16,"1:34,20",Champi0N
16,17,"58,80",umiz
16,18,"46,79",ZanguiZ
16,19,"39,82",Champi0N
16,20,"1:06,93",Joni
16,21,"15,15",elg
16,22,"42,20",Jokke
16,23,"47,95","3 Litre"
16,24,"1:00,02",Jokke
16,25,"25,11","AnTTiM [HfK]"
16,26,"27,65",Champi0N
16,27,"38,00",Champi0N
16,28,"54,21",Petri
16,29,"49,82",zeth
16,30,"34,25",KingKong
16,31,"1:26,15",zeth
16,32,"43,95",KingKong
16,33,"1:35,84",zeth
16,34,"38,21",spliff
16,35,"2:38,45",loX
16,36,"1:03,40",Jokke
16,37,"1:00,70",Ntc
16,38,"33,76",TuA
16,39,"44,90",KingKong
16,40,"1:30,19",loX
16,41,"40,88",KingKong
16,42,"51,45",Jokke
16,43,"1:01,57",Karlis
16,44,"33,65",Tier
16,45,"33,65",Jeppe
16,46,"1:09,71",KingKong
16,47,"26,02",mr
16,48,"54,77",Joni
16,49,"43,30",KingKong
16,50,"1:01,13",loX
16,51,"56,53",Fulgore
16,52,"26,80",zyntifox
16,53,"18,17",oizo!
16,54,"1:55,46",Rainman
17,1,"14,33",BoFaIQ
17,2,"16,84",zyntifox
17,3,"19,86",DeG
17,4,"31,68",Champi0N
17,5,"22,05","mengerle [UA]"
17,6,"33,24",DMC
17,7,"35,56",Champi0N
17,8,"22,50",Jokke
17,9,"1:04,52",Dr_Luni
17,10,"13,66",mr
17,11,"26,52",Joni
17,12,"22,84",Gazoline
17,13,"17,64",TuA
17,14,"18,35",DeG
17,15,"1:07,15","3 Litre"
17,16,"1:34,20",Champi0N
17,17,"58,50",umiz
17,18,"46,79",ZanguiZ
17,19,"39,82",Champi0N
17,20,"1:06,93",Joni
17,21,"15,14",elg
17,22,"42,20",Jokke
17,23,"47,95","3 Litre"
17,24,"1:00,02",Jokke
17,25,"25,11","AnTTiM [HfK]"
17,26,"27,65",Champi0N
17,27,"38,00",Champi0N
17,28,"54,21",Petri
17,29,"49,82",zeth
17,30,"34,25",KingKong
17,31,"1:26,15",zeth
17,32,"43,95",KingKong
17,33,"1:35,79",onlainari
17,34,"38,13",Markku
17,35,"2:38,45",loX
17,36,"1:03,40",Jokke
17,37,"1:00,70",Ntc
17,38,"33,76",TuA
17,39,"44,90",KingKong
17,40,"1:30,19",loX
17,41,"40,88",KingKong
17,42,"51,45",Jokke
17,43,"1:01,57",Karlis
17,44,"33,65",Tier
17,45,"33,65",Jeppe
17,46,"1:09,71",KingKong
17,47,"25,65",mr
17,48,"54,77",Joni
17,49,"43,30",KingKong
17,50,"1:01,08",Rainman
17,51,"56,53",Fulgore
17,52,"26,80",zyntifox
17,53,"18,17",oizo!
17,54,"1:54,56",Markku
18,1,"14,30",Bjorn
18,2,"16,83",zyntifox
18,3,"19,80",Ufo
18,4,"31,68",Champi0N
18,5,"22,05","mengerle [UA]"
18,6,"33,24",DMC
18,7,"35,56",Champi0N
18,8,"22,50",Jokke
18,9,"1:04,52",Dr_Luni
18,10,"13,66",mr
18,11,"26,52",Joni
18,12,"22,84",Gazoline
18,13,"17,64",TuA
18,14,"18,35",DeG
18,15,"1:07,15","3 Litre"
18,16,"1:34,20",Champi0N
18,17,"58,34",Ufo
18,18,"46,70",ramone
18,19,"39,82",Champi0N
18,20,"1:06,93",Joni
18,21,"15,14",elg
