table,lev,lev_name,time,kuski
6,47,Enigma,"27,08",zeth
6,48,Downhill,"54,77",Joni
6,49,"What the Heck","44,39",Joni
6,50,"Expert System","1:01,13",loX
6,51,"Tricks Abound","58,00",Fulgore
6,52,"Hang Tight","26,92",Rainman
6,53,Hooked,"18,44",Markku
6,54,"Apple Harvest","1:56,66",ramone
7,1,"Warm Up","14,37",Stikky
7,2,"Flat Track","16,87",mr
7,3,"Twin Peaks","20,01",DeG
7,4,"Over and Under","31,96",Champi0N
7,5,"Uphill Battle","22,35","mengerle [UA]"
7,6,"Long Haul","33,41",Markku
7,7,"Hi Flyer","35,56",Champi0N
7,8,Tag,"22,55",SoGe
7,9,"Tunnel Terror","1:04,52",Dr_Luni
7,10,"The Steppes","13,66",mr
7,11,"Gravity Ride","26,52",Joni
7,12,"Islands in the Sky","22,84",Gazoline
7,13,"Hill Legend","17,64",TuA
7,14,Loop-de-Loop,"18,35",DeG
7,15,"Serpents Tale","1:07,53",zeth
7,16,"New Wave","1:34,20",Champi0N
7,17,Labyrinth,"58,87",YeeS
7,18,Spiral,"46,79",ZanguiZ
7,19,Turnaround,"40,74",Champi0N
7,20,"Upside Down","1:07,90",Joni
7,21,Hangman,"15,15",elg
7,22,Slalom,"42,86",TuA
7,23,"Quick Round","48,23",Jokke
7,24,"Ramp Frenzy","1:00,02",Jokke
7,25,Precarious,"25,11","AnTTiM [HfK]"
7,26,Circuitous,"28,15",psy
7,27,"Shelf Life","38,00",Champi0N
7,28,"Bounce Back","54,84",Petri
7,29,Headbanger,"49,82",zeth
7,30,Pipe,"34,56",KingKong
7,31,"Animal Farm","1:28,81",KingKong
7,32,"Steep Corner","44,27",KingKong
7,33,Zig-Zag,"1:43,44",Champi0N
7,34,"Bumpy Journey","38,53",Garion
7,35,"Labyrinth Pro","2:38,45",loX
7,36,"Fruit in the Den","1:04,57",Jokke
7,37,Jaws,"1:01,83",DMC
7,38,Curvaceous,"33,89",Stene
7,39,Haircut,"45,41",Garion
7,40,"Double Trouble","1:30,85",loX
7,41,Framework,"40,88",KingKong
7,42,Enduro,"51,59",Mandel
7,43,"He He","1:02,59",Karlis
